trump_binary,pct_trump_rel_clint,county,fips,state,resident_popn_total,popn_sq_mile,median_income_1979,expend_fed_govt,expend_local_govt,total_congreg,total_adherent,Edu_geq_hs_pct,Edu_geq_bachelors_pct,Edu_lt_hs_pct,resident_popn_lt_18_pct,resident_popn_geq_18_pct,resident_popn_geq_20_lt_24_pct,resident_popn_geq_25_lt_29_pct,resident_popn_geq_30_lt_34_pct,resident_popn_geq_35_lt_44_pct,resident_popn_geq_45_lt_54_pct,resident_popn_geq_55_lt_59_pct,resident_popn_geq_60_lt_64_pct,resident_popn_geq_65_pct,male_popn_pct,female_popn_pct,white_popn_pct,black_popn_pct,asian_pfcisld_pct,hispanic_pct,hshld_income_lt_10_1979_pct,hshld_income_geq_10_lt_15_1979_pct,hshld_income_geq_15_lt_20_1979_pct,hshld_income_geq_20_lt_25_1979_pct,hshld_income_geq_25_lt_30_1979_pct,hshld_income_geq_30_lt_35_1979_pct,hshld_income_geq_35_lt_40_1979_pct,hshld_income_geq_40_lt_50_1979_pct,hshld_income_geq_50_lt_75_1979_pct,hshld_income_geq_75_1979_pct,adherent_pct,Adventis.congreg_pct,Baptist.adherent_pct,Baptist.congreg_pct,Catholic.adherent_pct,Catholic.congreg_pct,Communal.adherent_pct,Communal.congreg_pct,Eastern.adherent_pct,Eastern.congreg_pct,European.adherent_pct,European.congreg_pct,Holiness.adherent_pct,Holiness.congreg_pct,Judaism.adherent_pct,Judaism.congreg_pct,Latter.d.adherent_pct,Latter.d.congreg_pct,Liberal.adherent_pct,Liberal.congreg_pct,Lutheran.adherent_pct,Lutheran.congreg_pct,Methodis.adherent_pct,Methodis.congreg_pct,Other.gr.adherent_pct,Other.gr.congreg_pct,Pentecos.adherent_pct,Pentecos.congreg_pct,Presbyte.adherent_pct,Presbyte.congreg_pct,Restorat.adherent_pct,Restorat.congreg_pct,resident_popn_per_household,expend_fed_govt_percapita,expend_local_govt_percapita,expend_local_govt_edu_perstudent,expend_hosp_health_percapita,expend_police_prot_percapita,adherent_per_congreg,pred,matches
FALSE,0.24411134903640258,bullock,1011,al,10914,17.5,26209,114563,22521,137,24519,0.6990000000000001,0.09,0.609,0.22264980758658603,0.777350192413414,0.0651456844420011,0.07531610775151182,0.06716144401685908,0.12479384277075316,0.15548836356972695,0.07036833424958769,0.05854865310610225,0.13459776433938062,0.5416895730254718,0.4583104269745281,0.22970496609858898,0.7024005864027855,0.001832508704416346,0.07119296316657504,0.2218985190580238,0.06069434328720563,0.10196649672250546,0.06409322651128915,0.05948045642146152,0.09201262442340374,0.024277737314882253,0.06652100024277738,0.16411750424860402,0.14493809176984704,2.313986409966025,0.029197080291970802,0.5372568212406705,0.25547445255474455,0.00619927403238305,0.029197080291970802,0,0,0,0,0,0,0,0.0072992700729927005,0,0,0,0,0,0,0,0,0.4093967943227701,0.5328467153284672,0.004363962641217015,0,0.010726375463925936,0.051094890510948905,0.017292711774542193,0.058394160583941604,0.011542069415555283,0.0364963503649635,2.649672250546249,10.496884735202492,2.0634964266080265,5.209465020576132,0.37465640461792193,0.04581271761040865,178.97080291970804,FALSE,TRUE
TRUE,0.8526666666666667,cherokee,1019,al,25989,46.9,40240,184840,37323,2733,735930.5,0.7,0.1,0.6,0.21416753241756128,0.7858324675824387,0.04840509446304206,0.046365770133518024,0.051483319866097194,0.1300550232790796,0.15468082650352072,0.07345415368040324,0.07749432452191311,0.17896032937011813,0.49590211243218285,0.5040978875678171,0.926584324137135,0.04648120358613259,0.0020778021470622184,0.012312901612220555,0.09526854219948849,0.08467299963463647,0.058092802338326636,0.07234198027036902,0.059554256485202774,0.050054804530507854,0.04521373766898064,0.1123492875411034,0.21994884910485935,0.2025027402265254,39.228704690831556,0.01609952433223564,0.5687133499698681,0.43688254665203075,0.07751683073333691,0.02561287961946579,0,0,4.1444130933559624e-4,0.0014635931211123307,0.004288448433649645,0.01353823637028906,0.006526431504061864,0.0190267105744603,0.0028114067836568805,0,0.009025308775760755,0.007317965605561654,1.9023535510486383e-4,7.317965605561653e-4,0.03601019389738569,0.026344676180021953,0.1970946984803592,0.23710208562019758,5.802178330698347e-4,0.0010976948408342481,0.035504711382392765,0.09220636663007684,0.021397400977402076,0.04756677643615075,0.036242552795406634,0.07500914745700696,2.373858238947753,7.112239793758898,1.4361075839778368,4.531440891124686,0.0064642733464157914,0.0582554157528185,269.27570435418954,TRUE,TRUE
TRUE,0.8382058692752334,chilton,1021,al,43643,63,38966,288628,67194,436,100793,0.746,0.113,0.633,0.2511284742112137,0.7488715257887862,0.05895561716655592,0.0621863758220104,0.06832710858556927,0.13541690534564535,0.1419929885663222,0.06431730174369314,0.056985083518548224,0.13566895034713472,0.4951080356529111,0.5048919643470888,0.8412116490617052,0.09692275966363449,0.002978713653965126,0.0783630822812364,0.09889737065309584,0.07090754877014419,0.06700593723494487,0.05524455753463387,0.06429177268871926,0.060333616058806896,0.049985863726321744,0.09296013570822731,0.24054283290924514,0.1998303647158609,3.292597674114726,0.011467889908256881,0.7722163245463475,0.5344036697247706,0.011657555584217157,0.009174311926605505,0,0,0,0,0,0,0.003909001617175796,0.022935779816513763,0,0,0.004653100909785402,0.006880733944954129,0,0,0,0,0.09757622057087298,0.1811926605504587,4.960661950730705e-5,0,0.08534322820037106,0.1559633027522936,0.004901134007321937,0.016055045871559634,0.013433472562578751,0.06192660550458716,2.4677975685609272,6.6133858808972805,1.539628348188713,3.6771897810218976,0.08173132002841235,0.08677222005819948,231.17660550458714,TRUE,TRUE
TRUE,0.8091638383215057,clay,1027,al,13932,23.1,37652,134798,34123,4096,1280170.5,0.708,0.09,0.618,0.22566752799310938,0.7743324720068906,0.053617571059431525,0.05167958656330749,0.05455067470571347,0.13135228251507322,0.1521676715475165,0.06596325007177721,0.06467126040769451,0.17578237151880563,0.49045363192650016,0.5095463680734998,0.816824576514499,0.14829170255526844,0.0017226528854435831,0.02863910422049957,0.100438153016515,0.06774519716885744,0.07347489046174586,0.08527131782945736,0.07364341085271318,0.06858779912369396,0.05915065722952477,0.10970677451971689,0.21216717222783957,0.14981462756993597,93.42264467634824,0.01123046875,0.29618242257574284,0.269287109375,0.16063797751940073,0.041259765625,4.686875693511138e-4,0.00146484375,6.874084350483003e-5,4.8828125e-4,0.0020965957268973155,0.0087890625,0.014409018173751075,0.0341796875,0.0023168788844923393,4.8828125e-4,0.016554044949481338,0.015380859375,2.55434725296357e-4,0.001708984375,0.19710382327978967,0.1121826171875,0.1583093814456746,0.2301025390625,0.00296679231399255,0.004150390625,0.038590172168472874,0.074951171875,0.040091534682294275,0.058837890625,0.06809171122127873,0.135498046875,2.347826086956522,9.675423485501005,2.4492535170829743,4.440521628498728,1.0061728395061729,0.07235142118863049,312.5416259765625,TRUE,TRUE
TRUE,0.7899582006369427,coffee,1031,al,49948,73.6,41973,2081284,77033,1144.5,298305,0.79,0.215,0.575,0.24193160887322815,0.7580683911267718,0.061523984944342115,0.07325618643389124,0.06486746216064708,0.13237767277969087,0.13620164971570434,0.0621846720589413,0.05862096580443661,0.14435012412909426,0.494193961720189,0.505806038279811,0.7473772723632578,0.16735404821013855,0.012893409145511332,0.06366621286137583,0.0865505296450625,0.07455193533811938,0.06370801747075656,0.05336613283799387,0.05723178874441488,0.06541493046839701,0.05672975550981475,0.08233345047442141,0.21441839449771574,0.24569506501330388,7.74154620714712,0.009611183923110528,0.5481470307235883,0.3717780690257754,0.040642966091751734,0.012232415902140673,0,0,0,0,0,0,0.008793013861651666,0.023591087811271297,0,0,0.02307705201052614,0.015727391874180863,4.492046730695094e-4,0.0034949759720401923,0.021813244833308192,0.013979903888160769,0.19295687299911166,0.21494102228047182,7.71022946313337e-5,0,0.07615695345367995,0.16426387068588905,0.015500913494577698,0.03232852774137178,0.07087377013459378,0.1380515508955876,2.5075556001807318,41.66901577640746,1.5422639545126933,4.351042701092354,0.011211660126531593,0.08773124049010972,260.64220183486236,TRUE,TRUE
FALSE,0.31081879194630874,dallas,1047,al,43820,44.8,26442,614695,92469,6530.5,4701534,0.753,0.139,0.614,0.26460520310360564,0.7353947968963943,0.06172980374258329,0.059653126426289366,0.054198995892286626,0.11458238247375628,0.14865358283888636,0.06654495664080329,0.05937927886809676,0.1406891830214514,0.4619808306709265,0.5380191693290735,0.2913966225467823,0.6942720219078047,0.0034002738475581926,0.007051574623459607,0.19299491831047483,0.09775422108081526,0.0895033058302825,0.065570187421452375,0.06546090377574997,0.056062510245341785,0.0455712802579094,0.0646412764329818,0.1833779574886618,0.13906343915633027,87.09608936477649,0.020978485567720695,0.32702369056567493,0.3273868769619478,0.2740860748853459,0.033381823750095706,0,0,0.0037504780354667222,0.0065844881708904375,0.0017575114845495108,0.036750631651481507,0.00793187925472835,0.025725442156037056,0.018779828030595972,0.007962636857820993,0.011776581856049536,0.020978485567720695,0.001101555364695863,0.0021437868463364215,0.03342887661771669,0.05566189418880637,0.1504608921258466,0.14348059107265906,0.029188239412923526,0.02350509149376005,0.044096458730278246,0.11760202128474083,0.033551921564323475,0.0605619784090039,0.057411900030926076,0.11729576602097849,2.3944046773400363,14.027727065267001,2.1102008215426746,4.970073307460112,0.0026928343222272933,0.10342309447740758,719.9347676288186,FALSE,TRUE
TRUE,0.6832874828060522,escambia,1053,al,38319,40.5,32321,316223,88547,1523.5,601472.5,0.74,0.11199999999999999,0.628,0.2264933844828936,0.7735066155171064,0.0581173830214776,0.06359769305044495,0.06738171664187478,0.13672068686552363,0.14577624677053158,0.06537226963125342,0.05801299616378298,0.1516741042302774,0.5158276572979462,0.48417234270205384,0.6206842558521882,0.31890185025705264,0.0024008977269761736,0.018737440956183616,0.14367275658248255,0.078788285867813,0.08416174099946265,0.07482536270822139,0.052727028479312196,0.0797286405158517,0.044734013970983345,0.0947071466953251,0.20419129500268673,0.14246372917786138,15.647047346514048,0.012471283229405973,0.48822348486422906,0.3478831637676403,0.12914139881706976,0.05119789957335084,0,0,0.002646837552839074,0.0032819166393173614,0.0040833122046311345,0.029537249753856253,0.008317919771893145,0.02297341647522153,0.0035861988702725394,0.004594683295044306,0.016311635195291555,0.023629799803085,7.747652635822918e-4,0.0032819166393173614,0.025480799205283698,0.027568099770265836,0.1906471201925275,0.1988841483426321,0.007775916604666049,0.00853298326222514,0.061575550004364286,0.15096816540859861,0.02903790281351184,0.03577289136855924,0.02882924821999343,0.07942238267148015,2.573817839871037,8.252381325191159,2.3107857720712963,4.930637170180896,0.5323729742425428,0.12364623293927295,394.79652116836235,TRUE,TRUE
TRUE,0.8116265111892309,franklin,1059,al,31704,50,33380,275407,57315,9671,3601555.5,0.685,0.11599999999999999,0.569,0.2481390360837749,0.751860963916225,0.061380267474135754,0.062421145596770124,0.06355664900328034,0.13203381276810497,0.13515644713600808,0.06156951804188746,0.05592354277062831,0.15218899823366136,0.49924299772899317,0.5007570022710068,0.8301791572041383,0.03873328286651526,0.0019871309613928843,0.14856169568508706,0.10709617898054893,0.09348812178057969,0.07526716383485815,0.08733758745290997,0.06496501883601138,0.06696394249250404,0.050895671561466904,0.09702467901898977,0.2095025755362497,0.14745906050588145,127.03899470899471,0.020163375038775723,0.19140271474367118,0.21409368214248786,0.3010332618780968,0.07403577706545342,0,0,0.0036503671816247173,0.0037224692379278254,0.01734805974807274,0.04787509047668287,0.024266459311816795,0.045290042394788545,0.011512803287357366,0.004446282700858236,0.024728204243971805,0.02678109812842519,0.001352471175301894,0.0038258711612035984,0.10253625135028462,0.08220452900423948,0.16037639847560312,0.21321476579464377,0.008846871858562224,0.010650398097404612,0.03888319921767137,0.08313514631372143,0.06309135039013004,0.09073518767449075,0.04342706922050764,0.07982628476889671,2.4374567540555088,8.686821852132223,1.8078160484481454,4.638108554722257,0.0023340903356043404,0.08563588190764572,372.407765484438,TRUE,TRUE
FALSE,0.46210237929509224,jefferson,1073,al,658466,592.5,44718,7448880,2646074,15707,6099018.5,0.861,0.281,0.58,0.23467878371852152,0.7653212162814784,0.07047440566407377,0.07370615946761108,0.06798224965298132,0.1269511257984467,0.14462857611478802,0.06788809141246473,0.054610260818326234,0.13127936749961275,0.4735445717774342,0.5264554282225657,0.5302718743260851,0.41995334611050533,0.01390808333308022,0.03870814894011232,0.08449262792714657,0.06164440589765828,0.06092281006071119,0.05873373807458803,0.0530338248048569,0.05194102341717259,0.04884301821335646,0.08984215091066783,0.24001387684301823,0.2505325238508239,9.085059524164189,0.015025148023174381,0.3579139823891336,0.22843318265741389,0.2475678668625124,0.06322022028394983,0,0,0.002105584693668334,0.0034379575985229514,0.0025914005671568304,0.03558922773285796,0.013984873139833893,0.03960017826446807,0.007596632146631462,0.003565289361431209,0.01719932477660135,0.017890112688610176,8.073430175691384e-4,0.002164639969440377,0.04932252623926293,0.04978671929712867,0.16807573218543279,0.32450499777169417,0.005089097532660378,0.006589418730502324,0.03448489293810143,0.06965047431081683,0.042445518078031735,0.0645890367352136,0.04563127657343555,0.07595339657477558,2.284357328707719,11.31247475192341,4.018543098656575,5.2959528370263,0.24158878362740066,0.22879844973013033,388.29938880753804,FALSE,TRUE
TRUE,0.8489575739903776,lamar,1075,al,14564,24.1,31094,144197,35712,1248,282692.5,0.748,0.09,0.6579999999999999,0.22157374347706674,0.7784262565229333,0.05019225487503433,0.04689645701730294,0.05376270255424334,0.12455369404009888,0.15174402636638287,0.0718209283163966,0.06962372974457566,0.18758582806921176,0.4872974457566603,0.5127025542433398,0.866932161494095,0.11281241417193079,2.7464982147761604e-4,0.012359241966492723,0.1621540312876053,0.07325511432009627,0.06949458483754513,0.08513838748495788,0.062123947051744885,0.04632972322503008,0.06468110709987966,0.07867027677496992,0.21600481347773767,0.1421480144404332,17.1818209445086,0.005608974358974359,0.6084827153178808,0.4030448717948718,0.03290501162924379,0.008814102564102564,0,0,0,8.012820512820513e-4,0.0012663936963308187,0.005608974358974359,0.009091150278129062,0.020833333333333332,0,0,0.0066609478496953405,0.004006410256410256,0,0,0.0019597265580091443,0.005608974358974359,0.211179992394563,0.29407051282051283,0.0018819034816983118,0.0016025641025641025,0.05516594886670145,0.11778846153846154,0.009600537686709057,0.02403846153846154,0.058377919470803084,0.10817307692307693,2.190734055354994,9.90092007690195,2.452073606152156,6.604896188410288,0.060216973358967314,0.08850590497116177,226.51642628205127,TRUE,TRUE
